"REF_DATE","GEO","DGUID","Type of vehicle","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2004","British Columbia","2016A000259","Buses","Number","223","units ","0","v1456828","11.6","8596","","","","0"
"2004","British Columbia","2016A000259","Motorcycles and mopeds","Number","223","units ","0","v1456829","11.7","36115","","","","0"
"2004","British Columbia","2016A000259","Trailers","Number","223","units ","0","v1456830","11.8","289149","","","","0"
"2004","British Columbia","2016A000259","Off-road, construction, farm vehicles","Number","223","units ","0","v1456831","11.9","29863","","","","0"
"2004","Yukon","2016A000260","Total, vehicle registrations","Number","223","units ","0","v1456832","12.1","36247","","","","0"
"2004","Yukon","2016A000260","Total, road motor vehicle registrations","Number","223","units ","0","v1456833","12.2","27331","","","","0"
"2004","Yukon","2016A000260","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456834","12.3","23904","","","","0"
"2004","Yukon","2016A000260","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456835","12.4","1480","","","","0"
"2004","Yukon","2016A000260","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456836","12.5","1144","","","","0"
"2004","Yukon","2016A000260","Buses","Number","223","units ","0","v1456837","12.6","268","","","","0"
"2004","Yukon","2016A000260","Motorcycles and mopeds","Number","223","units ","0","v1456838","12.7","533","","","","0"
"2004","Yukon","2016A000260","Trailers","Number","223","units ","0","v1456839","12.8","7857","","","","0"
"2004","Yukon","2016A000260","Off-road, construction, farm vehicles","Number","223","units ","0","v1456840","12.9","1058","","","","0"
"2004","Northwest Territories","2016A000261","Total, vehicle registrations","Number","223","units ","0","v1456841","13.1","26710","","","","0"
"2004","Northwest Territories","2016A000261","Total, road motor vehicle registrations","Number","223","units ","0","v1456842","13.2","21998","","","","0"
"2004","Northwest Territories","2016A000261","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456843","13.3","19939","","","","0"
"2004","Northwest Territories","2016A000261","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456844","13.4","605","","","","0"
"2004","Northwest Territories","2016A000261","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456845","13.5","913","","","","0"
"2004","Northwest Territories","2016A000261","Buses","Number","223","units ","0","v1456846","13.6","99","","","","0"
"2004","Northwest Territories","2016A000261","Motorcycles and mopeds","Number","223","units ","0","v1456847","13.7","440","","","","0"
"2004","Northwest Territories","2016A000261","Trailers","Number","223","units ","0","v1456848","13.8","3607","","","","0"
"2004","Northwest Territories","2016A000261","Off-road, construction, farm vehicles","Number","223","units ","0","v1456849","13.9","1104","","","","0"
"2004","Nunavut","2016A000262","Total, vehicle registrations","Number","223","units ","0","v1456850","14.1","4290","","","","0"
"2004","Nunavut","2016A000262","Total, road motor vehicle registrations","Number","223","units ","0","v1456851","14.2","3329","","","","0"
"2004","Nunavut","2016A000262","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456852","14.3","2927","","","","0"
"2004","Nunavut","2016A000262","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456853","14.4","213","","","","0"
"2004","Nunavut","2016A000262","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456854","14.5","130","","","","0"
"2004","Nunavut","2016A000262","Buses","Number","223","units ","0","v1456855","14.6","14","","","","0"
"2004","Nunavut","2016A000262","Motorcycles and mopeds","Number","223","units ","0","v1456856","14.7","44","","","","0"
"2004","Nunavut","2016A000262","Trailers","Number","223","units ","0","v1456857","14.8","75","","","","0"
"2004","Nunavut","2016A000262","Off-road, construction, farm vehicles","Number","223","units ","0","v1456858","14.9","885","","","","0"
"2005","Canada","2016A000011124","Total, vehicle registrations","Number","223","units ","0","v1456733","1.1","25838309","","","","0"
"2005","Canada","2016A000011124","Total, road motor vehicle registrations","Number","223","units ","0","v1456734","1.2","19515295","","","","0"
"2005","Canada","2016A000011124","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456735","1.3","18275275","","","","0"
"2005","Canada","2016A000011124","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456736","1.4","415764","","","","0"
"2005","Canada","2016A000011124","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456737","1.5","301574","","","","0"
"2005","Canada","2016A000011124","Buses","Number","223","units ","0","v1456738","1.6","78962","","","","0"
"2005","Canada","2016A000011124","Motorcycles and mopeds","Number","223","units ","0","v1456739","1.7","443718","","","","0"
"2005","Canada","2016A000011124","Trailers","Number","223","units ","0","v1456740","1.8","4722563","","","","0"
"2005","Canada","2016A000011124","Off-road, construction, farm vehicles","Number","223","units ","0","v1456741","1.9","1600450","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total, vehicle registrations","Number","223","units ","0","v1456742","2.1","427856","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Total, road motor vehicle registrations","Number","223","units ","0","v1456743","2.2","266716","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456744","2.3","253025","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456745","2.4","4028","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456746","2.5","3137","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Buses","Number","223","units ","0","v1456747","2.6","1273","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Motorcycles and mopeds","Number","223","units ","0","v1456748","2.7","5250","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Trailers","Number","223","units ","0","v1456749","2.8","31116","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Off-road, construction, farm vehicles","Number","223","units ","0","v1456750","2.9","130023","","","","0"
"2005","Prince Edward Island","2016A000211","Total, vehicle registrations","Number","223","units ","0","v1456751","3.1","94008","","","","0"
"2005","Prince Edward Island","2016A000211","Total, road motor vehicle registrations","Number","223","units ","0","v1456752","3.2","81888","","","","0"
"2005","Prince Edward Island","2016A000211","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456753","3.3","75929","","","","0"
"2005","Prince Edward Island","2016A000211","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456754","3.4","1590","","","","0"
"2005","Prince Edward Island","2016A000211","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456755","3.5","2684","","","","0"
"2005","Prince Edward Island","2016A000211","Buses","Number","223","units ","0","v1456756","3.6","60","","","","0"
"2005","Prince Edward Island","2016A000211","Motorcycles and mopeds","Number","223","units ","0","v1456757","3.7","1622","","","","0"
"2005","Prince Edward Island","2016A000211","Trailers","Number","223","units ","0","v1456758","3.8","10310","","","","0"
"2005","Prince Edward Island","2016A000211","Off-road, construction, farm vehicles","Number","223","units ","0","v1456759","3.9","1810","","","","0"
"2005","Nova Scotia","2016A000212","Total, vehicle registrations","Number","223","units ","0","v1456760","4.1","665426","","","","0"
"2005","Nova Scotia","2016A000212","Total, road motor vehicle registrations","Number","223","units ","0","v1456761","4.2","561325","","","","0"
"2005","Nova Scotia","2016A000212","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456762","4.3","532253","","","","0"
"2005","Nova Scotia","2016A000212","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456763","4.4","8946","","","","0"
"2005","Nova Scotia","2016A000212","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456764","4.5","7870","","","","0"
"2005","Nova Scotia","2016A000212","Buses","Number","223","units ","0","v1456765","4.6","1848","","","","0"
"2005","Nova Scotia","2016A000212","Motorcycles and mopeds","Number","223","units ","0","v1456766","4.7","10407","","","","0"
"2005","Nova Scotia","2016A000212","Trailers","Number","223","units ","0","v1456767","4.8","48121","","","","0"
"2005","Nova Scotia","2016A000212","Off-road, construction, farm vehicles","Number","223","units ","0","v1456768","4.9","55980","","","","0"
"2005","New Brunswick","2016A000213","Total, vehicle registrations","Number","223","units ","0","v1456769","5.1","599376","","","","0"
"2005","New Brunswick","2016A000213","Total, road motor vehicle registrations","Number","223","units ","0","v1456770","5.2","478825","","","","0"
"2005","New Brunswick","2016A000213","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456771","5.3","450489","","","","0"
"2005","New Brunswick","2016A000213","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456772","5.4","7640","","","","0"
"2005","New Brunswick","2016A000213","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456773","5.5","4196","","","","0"
"2005","New Brunswick","2016A000213","Buses","Number","223","units ","0","v1456774","5.6","2820","","","","0"
"2005","New Brunswick","2016A000213","Motorcycles and mopeds","Number","223","units ","0","v1456775","5.7","13677","","","","0"
"2005","New Brunswick","2016A000213","Trailers","Number","223","units ","0","v1456776","5.8","78440","","","","0"
"2005","New Brunswick","2016A000213","Off-road, construction, farm vehicles","Number","223","units ","0","v1456777","5.9","42110","","","","0"
"2005","Quebec","2016A000224","Total, vehicle registrations","Number","223","units ","0","v1456778","6.1","6478106","","","","0"
"2005","Quebec","2016A000224","Total, road motor vehicle registrations","Number","223","units ","0","v1456779","6.2","4524067","","","","0"
"2005","Quebec","2016A000224","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456780","6.3","4245268","","","","0"
"2005","Quebec","2016A000224","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456781","6.4","57482","","","","0"
"2005","Quebec","2016A000224","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456782","6.5","39195","","","","0"
"2005","Quebec","2016A000224","Buses","Number","223","units ","0","v1456783","6.6","16791","","","","0"
"2005","Quebec","2016A000224","Motorcycles and mopeds","Number","223","units ","0","v1456784","6.7","165329","","","","0"
"2005","Quebec","2016A000224","Trailers","Number","223","units ","0","v1456785","6.8","1348714","","","","0"
"2005","Quebec","2016A000224","Off-road, construction, farm vehicles","Number","223","units ","0","v1456786","6.9","605324","","","","0"
"2005","Ontario","2016A000235","Total, vehicle registrations","Number","223","units ","0","v1456787","7.1","9479334","","","","0"
"2005","Ontario","2016A000235","Total, road motor vehicle registrations","Number","223","units ","0","v1456788","7.2","7130323","","","","0"
"2005","Ontario","2016A000235","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456789","7.3","6775882","","","","0"
"2005","Ontario","2016A000235","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456790","7.4","88599","","","","0"
"2005","Ontario","2016A000235","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456791","7.5","111546","","","","0"
"2005","Ontario","2016A000235","Buses","Number","223","units ","0","v1456792","7.6","26151","","","","0"
"2005","Ontario","2016A000235","Motorcycles and mopeds","Number","223","units ","0","v1456793","7.7","128143","","","","0"
"2005","Ontario","2016A000235","Trailers","Number","223","units ","0","v1456794","7.8","1825637","","","","0"
"2005","Ontario","2016A000235","Off-road, construction, farm vehicles","Number","223","units ","0","v1456795","7.9","523373","","","","0"
"2005","Manitoba","2016A000246","Total, vehicle registrations","Number","223","units ","0","v1456796","8.1","875376","","","","0"
"2005","Manitoba","2016A000246","Total, road motor vehicle registrations","Number","223","units ","0","v1456797","8.2","661740","","","","0"
"2005","Manitoba","2016A000246","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456798","8.3","623382","","","","0"
"2005","Manitoba","2016A000246","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456799","8.4","10315","","","","0"
"2005","Manitoba","2016A000246","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456800","8.5","15518","","","","0"
"2005","Manitoba","2016A000246","Buses","Number","223","units ","0","v1456801","8.6","3711","","","","0"
"2005","Manitoba","2016A000246","Motorcycles and mopeds","Number","223","units ","0","v1456802","8.7","8813","","","","0"
"2005","Manitoba","2016A000246","Trailers","Number","223","units ","0","v1456803","8.8","107664","","","","0"
"2005","Manitoba","2016A000246","Off-road, construction, farm vehicles","Number","223","units ","0","v1456804","8.9","105971","","","","0"
"2005","Saskatchewan","2016A000247","Total, vehicle registrations","Number","223","units ","0","v1456805","9.1","855444","","","","0"
"2005","Saskatchewan","2016A000247","Total, road motor vehicle registrations","Number","223","units ","0","v1456806","9.2","730068","","","","0"
"2005","Saskatchewan","2016A000247","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456807","9.3","657115","","","","0"
"2005","Saskatchewan","2016A000247","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456808","9.4","38063","","","","0"
"2005","Saskatchewan","2016A000247","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456809","9.5","25531","","","","0"
"2005","Saskatchewan","2016A000247","Buses","Number","223","units ","0","v1456810","9.6","3780","","","","0"
"2005","Saskatchewan","2016A000247","Motorcycles and mopeds","Number","223","units ","0","v1456811","9.7","5578","","","","0"
"2005","Saskatchewan","2016A000247","Trailers","Number","223","units ","0","v1456812","9.8","121830","","","","0"
"2005","Saskatchewan","2016A000247","Off-road, construction, farm vehicles","Number","223","units ","0","v1456813","9.9","3545","","","","0"
"2005","Alberta","2016A000248","Total, vehicle registrations","Number","223","units ","0","v1456814","10.1","3410034","","","","0"
"2005","Alberta","2016A000248","Total, road motor vehicle registrations","Number","223","units ","0","v1456815","10.2","2478371","","","","0"
"2005","Alberta","2016A000248","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456816","10.3","2223822","","","","0"
"2005","Alberta","2016A000248","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456817","10.4","104258","","","","0"
"2005","Alberta","2016A000248","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456818","10.5","73523","","","","0"
"2005","Alberta","2016A000248","Buses","Number","223","units ","0","v1456819","10.6","13271","","","","0"
"2005","Alberta","2016A000248","Motorcycles and mopeds","Number","223","units ","0","v1456820","10.7","63496","","","","0"
"2005","Alberta","2016A000248","Trailers","Number","223","units ","0","v1456821","10.8","834161","","","","0"
"2005","Alberta","2016A000248","Off-road, construction, farm vehicles","Number","223","units ","0","v1456822","10.9","97501","","","","0"
"2005","British Columbia","2016A000259","Total, vehicle registrations","Number","223","units ","0","v1456823","11.1","2882544","","","","0"
"2005","British Columbia","2016A000259","Total, road motor vehicle registrations","Number","223","units ","0","v1456824","11.2","2546927","","","","0"
"2005","British Columbia","2016A000259","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456825","11.3","2389628","","","","0"
"2005","British Columbia","2016A000259","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456826","11.4","92323","","","","0"
"2005","British Columbia","2016A000259","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456827","11.5","15906","","","","0"
"2005","British Columbia","2016A000259","Buses","Number","223","units ","0","v1456828","11.6","8832","","","","0"
"2005","British Columbia","2016A000259","Motorcycles and mopeds","Number","223","units ","0","v1456829","11.7","40236","","","","0"
"2005","British Columbia","2016A000259","Trailers","Number","223","units ","0","v1456830","11.8","304059","","","","0"
"2005","British Columbia","2016A000259","Off-road, construction, farm vehicles","Number","223","units ","0","v1456831","11.9","31557","","","","0"
"2005","Yukon","2016A000260","Total, vehicle registrations","Number","223","units ","0","v1456832","12.1","38052","","","","0"
"2005","Yukon","2016A000260","Total, road motor vehicle registrations","Number","223","units ","0","v1456833","12.2","28362","","","","0"
"2005","Yukon","2016A000260","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456834","12.3","24670","","","","0"
"2005","Yukon","2016A000260","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456835","12.4","1595","","","","0"
"2005","Yukon","2016A000260","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456836","12.5","1187","","","","0"
"2005","Yukon","2016A000260","Buses","Number","223","units ","0","v1456837","12.6","294","","","","0"
"2005","Yukon","2016A000260","Motorcycles and mopeds","Number","223","units ","0","v1456838","12.7","615","","","","0"
"2005","Yukon","2016A000260","Trailers","Number","223","units ","0","v1456839","12.8","8572","","","","0"
"2005","Yukon","2016A000260","Off-road, construction, farm vehicles","Number","223","units ","0","v1456840","12.9","1118","","","","0"
"2005","Northwest Territories","2016A000261","Total, vehicle registrations","Number","223","units ","0","v1456841","13.1","28212","","","","0"
"2005","Northwest Territories","2016A000261","Total, road motor vehicle registrations","Number","223","units ","0","v1456842","13.2","23184","","","","0"
"2005","Northwest Territories","2016A000261","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456843","13.3","20725","","","","0"
"2005","Northwest Territories","2016A000261","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456844","13.4","701","","","","0"
"2005","Northwest Territories","2016A000261","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456845","13.5","1138","","","","0"
"2005","Northwest Territories","2016A000261","Buses","Number","223","units ","0","v1456846","13.6","111","","","","0"
"2005","Northwest Territories","2016A000261","Motorcycles and mopeds","Number","223","units ","0","v1456847","13.7","506","","","","0"
"2005","Northwest Territories","2016A000261","Trailers","Number","223","units ","0","v1456848","13.8","3864","","","","0"
"2005","Northwest Territories","2016A000261","Off-road, construction, farm vehicles","Number","223","units ","0","v1456849","13.9","1164","","","","0"
"2005","Nunavut","2016A000262","Total, vehicle registrations","Number","223","units ","0","v1456850","14.1","4537","","","","0"
"2005","Nunavut","2016A000262","Total, road motor vehicle registrations","Number","223","units ","0","v1456851","14.2","3497","","","","0"
"2005","Nunavut","2016A000262","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456852","14.3","3082","","","","0"
"2005","Nunavut","2016A000262","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456853","14.4","217","","","","0"
"2005","Nunavut","2016A000262","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456854","14.5","139","","","","0"
"2005","Nunavut","2016A000262","Buses","Number","223","units ","0","v1456855","14.6","14","","","","0"
"2005","Nunavut","2016A000262","Motorcycles and mopeds","Number","223","units ","0","v1456856","14.7","43","","","","0"
"2005","Nunavut","2016A000262","Trailers","Number","223","units ","0","v1456857","14.8","70","","","","0"
"2005","Nunavut","2016A000262","Off-road, construction, farm vehicles","Number","223","units ","0","v1456858","14.9","970","","","","0"
"2006","Canada","2016A000011124","Total, vehicle registrations","Number","223","units ","0","v1456733","1.1","26684822","","","","0"
"2006","Canada","2016A000011124","Total, road motor vehicle registrations","Number","223","units ","0","v1456734","1.2","20065171","","","","0"
"2006","Canada","2016A000011124","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456735","1.3","18738941","","","","0"
"2006","Canada","2016A000011124","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456736","1.4","442607","","","","0"
"2006","Canada","2016A000011124","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456737","1.5","318272","","","","0"
"2006","Canada","2016A000011124","Buses","Number","223","units ","0","v1456738","1.6","80447","","","","0"
"2006","Canada","2016A000011124","Motorcycles and mopeds","Number","223","units ","0","v1456739","1.7","484903","","","","0"
"2006","Canada","2016A000011124","Trailers","Number","223","units ","0","v1456740","1.8","4961184","","","","0"
"2006","Canada","2016A000011124","Off-road, construction, farm vehicles","Number","223","units ","0","v1456741","1.9","1658466","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Total, vehicle registrations","Number","223","units ","0","v1456742","2.1","440980","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Total, road motor vehicle registrations","Number","223","units ","0","v1456743","2.2","272817","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456744","2.3","258127","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456745","2.4","4086","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456746","2.5","3194","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Buses","Number","223","units ","0","v1456747","2.6","1214","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Motorcycles and mopeds","Number","223","units ","0","v1456748","2.7","6194","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Trailers","Number","223","units ","0","v1456749","2.8","32698","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Off-road, construction, farm vehicles","Number","223","units ","0","v1456750","2.9","135464","","","","0"
"2006","Prince Edward Island","2016A000211","Total, vehicle registrations","Number","223","units ","0","v1456751","3.1","95345","","","","0"
"2006","Prince Edward Island","2016A000211","Total, road motor vehicle registrations","Number","223","units ","0","v1456752","3.2","82955","","","","0"
"2006","Prince Edward Island","2016A000211","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456753","3.3","76675","","","","0"
"2006","Prince Edward Island","2016A000211","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456754","3.4","1521","","","","0"
"2006","Prince Edward Island","2016A000211","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456755","3.5","2777","","","","0"
"2006","Prince Edward Island","2016A000211","Buses","Number","223","units ","0","v1456756","3.6","68","","","","0"
"2006","Prince Edward Island","2016A000211","Motorcycles and mopeds","Number","223","units ","0","v1456757","3.7","1912","","","","0"
"2006","Prince Edward Island","2016A000211","Trailers","Number","223","units ","0","v1456758","3.8","10894","","","","0"
"2006","Prince Edward Island","2016A000211","Off-road, construction, farm vehicles","Number","223","units ","0","v1456759","3.9","1494","","","","0"
"2006","Nova Scotia","2016A000212","Total, vehicle registrations","Number","223","units ","0","v1456760","4.1","656269","","","","0"
"2006","Nova Scotia","2016A000212","Total, road motor vehicle registrations","Number","223","units ","0","v1456761","4.2","555453","","","","0"
"2006","Nova Scotia","2016A000212","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456762","4.3","525214","","","","0"
"2006","Nova Scotia","2016A000212","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456763","4.4","8606","","","","0"
"2006","Nova Scotia","2016A000212","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456764","4.5","7675","","","","0"
"2006","Nova Scotia","2016A000212","Buses","Number","223","units ","0","v1456765","4.6","1799","","","","0"
"2006","Nova Scotia","2016A000212","Motorcycles and mopeds","Number","223","units ","0","v1456766","4.7","12156","","","","0"
"2006","Nova Scotia","2016A000212","Trailers","Number","223","units ","0","v1456767","4.8","44792","","","","0"
"2006","Nova Scotia","2016A000212","Off-road, construction, farm vehicles","Number","223","units ","0","v1456768","4.9","56023","","","","0"
"2006","New Brunswick","2016A000213","Total, vehicle registrations","Number","223","units ","0","v1456769","5.1","615706","","","","0"
"2006","New Brunswick","2016A000213","Total, road motor vehicle registrations","Number","223","units ","0","v1456770","5.2","490631","","","","0"
"2006","New Brunswick","2016A000213","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456771","5.3","459671","","","","0"
"2006","New Brunswick","2016A000213","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456772","5.4","7828","","","","0"
"2006","New Brunswick","2016A000213","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456773","5.5","4393","","","","0"
"2006","New Brunswick","2016A000213","Buses","Number","223","units ","0","v1456774","5.6","2869","","","","0"
"2006","New Brunswick","2016A000213","Motorcycles and mopeds","Number","223","units ","0","v1456775","5.7","15869","","","","0"
"2006","New Brunswick","2016A000213","Trailers","Number","223","units ","0","v1456776","5.8","84160","","","","0"
"2006","New Brunswick","2016A000213","Off-road, construction, farm vehicles","Number","223","units ","0","v1456777","5.9","40914","","","","0"
"2006","Quebec","2016A000224","Total, vehicle registrations","Number","223","units ","0","v1456778","6.1","6693156","","","","0"
"2006","Quebec","2016A000224","Total, road motor vehicle registrations","Number","223","units ","0","v1456779","6.2","4663692","","","","0"
"2006","Quebec","2016A000224","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456780","6.3","4373402","","","","0"
"2006","Quebec","2016A000224","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456781","6.4","58613","","","","0"
"2006","Quebec","2016A000224","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456782","6.5","39705","","","","0"
"2006","Quebec","2016A000224","Buses","Number","223","units ","0","v1456783","6.6","17173","","","","0"
"2006","Quebec","2016A000224","Motorcycles and mopeds","Number","223","units ","0","v1456784","6.7","174797","","","","0"
"2006","Quebec","2016A000224","Trailers","Number","223","units ","0","v1456785","6.8","1413037","","","","0"
"2006","Quebec","2016A000224","Off-road, construction, farm vehicles","Number","223","units ","0","v1456786","6.9","616426","","","","0"
"2006","Ontario","2016A000235","Total, vehicle registrations","Number","223","units ","0","v1456787","7.1","9749838","","","","0"
"2006","Ontario","2016A000235","Total, road motor vehicle registrations","Number","223","units ","0","v1456788","7.2","7298384","","","","0"
"2006","Ontario","2016A000235","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456789","7.3","6918914","","","","0"
"2006","Ontario","2016A000235","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456790","7.4","94155","","","","0"
"2006","Ontario","2016A000235","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456791","7.5","117622","","","","0"
"2006","Ontario","2016A000235","Buses","Number","223","units ","0","v1456792","7.6","26816","","","","0"
"2006","Ontario","2016A000235","Motorcycles and mopeds","Number","223","units ","0","v1456793","7.7","140875","","","","0"
"2006","Ontario","2016A000235","Trailers","Number","223","units ","0","v1456794","7.8","1906823","","","","0"
"2006","Ontario","2016A000235","Off-road, construction, farm vehicles","Number","223","units ","0","v1456795","7.9","544630","","","","0"
"2006","Manitoba","2016A000246","Total, vehicle registrations","Number","223","units ","0","v1456796","8.1","896830","","","","0"
"2006","Manitoba","2016A000246","Total, road motor vehicle registrations","Number","223","units ","0","v1456797","8.2","672122","","","","0"
"2006","Manitoba","2016A000246","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456798","8.3","631516","","","","0"
"2006","Manitoba","2016A000246","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456799","8.4","10707","","","","0"
"2006","Manitoba","2016A000246","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456800","8.5","16372","","","","0"
"2006","Manitoba","2016A000246","Buses","Number","223","units ","0","v1456801","8.6","3749","","","","0"
"2006","Manitoba","2016A000246","Motorcycles and mopeds","Number","223","units ","0","v1456802","8.7","9775","","","","0"
"2006","Manitoba","2016A000246","Trailers","Number","223","units ","0","v1456803","8.8","116303","","","","0"
"2006","Manitoba","2016A000246","Off-road, construction, farm vehicles","Number","223","units ","0","v1456804","8.9","108404","","","","0"
"2006","Saskatchewan","2016A000247","Total, vehicle registrations","Number","223","units ","0","v1456805","9.1","874109","","","","0"
"2006","Saskatchewan","2016A000247","Total, road motor vehicle registrations","Number","223","units ","0","v1456806","9.2","738774","","","","0"
"2006","Saskatchewan","2016A000247","Vehicles weighing less than 4,500 kilograms","Number","223","units ","0","v1456807","9.3","665169","","","","0"
"2006","Saskatchewan","2016A000247","Vehicles weighing 4,500 kilograms to 14,999 kilograms","Number","223","units ","0","v1456808","9.4","37333","","","","0"
"2006","Saskatchewan","2016A000247","Vehicles weighing 15,000 kilograms or more","Number","223","units ","0","v1456809","9.5","26259","","","","0"
