"REF_DATE","GEO","DGUID","Type of fuel sales","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987","Yukon","2016A000260","Net sales of diesel oil","Litres","203","thousands","3","v74781","12.3","28577","","","","0"
"1987","Yukon","2016A000260","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74794","12.4","0","","","","0"
"1987","Northwest Territories including Nunavut","2011A000261","Net sales of gasoline","Litres","203","thousands","3","v74730","13.1","39187","","","t","0"
"1987","Northwest Territories including Nunavut","2011A000261","Gross sales of gasoline","Litres","203","thousands","3","v74743","13.2","52204","","","t","0"
"1987","Northwest Territories including Nunavut","2011A000261","Net sales of diesel oil","Litres","203","thousands","3","v74782","13.3","59737","","","t","0"
"1987","Northwest Territories including Nunavut","2011A000261","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74795","13.4","0","","","t","0"
"1988","Canada","2016A000011124","Net sales of gasoline","Litres","203","thousands","3","v74726","1.1","31754651","","","","0"
"1988","Canada","2016A000011124","Gross sales of gasoline","Litres","203","thousands","3","v74739","1.2","33762548","","","","0"
"1988","Canada","2016A000011124","Net sales of diesel oil","Litres","203","thousands","3","v74778","1.3","5767251","","","","0"
"1988","Canada","2016A000011124","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74791","1.4","87015","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Net sales of gasoline","Litres","203","thousands","3","v74727","2.1","568172","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Gross sales of gasoline","Litres","203","thousands","3","v74740","2.2","587163","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Net sales of diesel oil","Litres","203","thousands","3","v74779","2.3","129355","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74792","2.4","1420","","","","0"
"1988","Prince Edward Island","2016A000211","Net sales of gasoline","Litres","203","thousands","3","v74731","3.1","175611","","","","0"
"1988","Prince Edward Island","2016A000211","Gross sales of gasoline","Litres","203","thousands","3","v74744","3.2","179735","","","","0"
"1988","Prince Edward Island","2016A000211","Net sales of diesel oil","Litres","203","thousands","3","v74783","3.3","24341","","","","0"
"1988","Prince Edward Island","2016A000211","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74796","3.4","723","","","","0"
"1988","Nova Scotia","2016A000212","Net sales of gasoline","Litres","203","thousands","3","v74732","4.1","1095247","","","","0"
"1988","Nova Scotia","2016A000212","Gross sales of gasoline","Litres","203","thousands","3","v74745","4.2","1118838","","","","0"
"1988","Nova Scotia","2016A000212","Net sales of diesel oil","Litres","203","thousands","3","v74784","4.3","279206","","","","0"
"1988","Nova Scotia","2016A000212","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74797","4.4","6824","","","","0"
"1988","New Brunswick","2016A000213","Net sales of gasoline","Litres","203","thousands","3","v74733","5.1","999483","","","","0"
"1988","New Brunswick","2016A000213","Gross sales of gasoline","Litres","203","thousands","3","v74746","5.2","999624","","","","0"
"1988","New Brunswick","2016A000213","Net sales of diesel oil","Litres","203","thousands","3","v74785","5.3","286763","","","","0"
"1988","New Brunswick","2016A000213","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74798","5.4","4253","","","","0"
"1988","Quebec","2016A000224","Net sales of gasoline","Litres","203","thousands","3","v74734","6.1","6843471","","","","0"
"1988","Quebec","2016A000224","Gross sales of gasoline","Litres","203","thousands","3","v74747","6.2","6996724","","","","0"
"1988","Quebec","2016A000224","Net sales of diesel oil","Litres","203","thousands","3","v74786","6.3","2142179","","","","0"
"1988","Quebec","2016A000224","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74799","6.4","3233","","","","0"
"1988","Ontario","2016A000235","Net sales of gasoline","Litres","203","thousands","3","v74735","7.1","12051748","","","","0"
"1988","Ontario","2016A000235","Gross sales of gasoline","Litres","203","thousands","3","v74748","7.2","12368600","","","","0"
"1988","Ontario","2016A000235","Net sales of diesel oil","Litres","203","thousands","3","v74787","7.3","0","","","","0"
"1988","Ontario","2016A000235","Net sales of liquefied petroleum gas","Litres","203","thousands","3","v74800","7.4","0","","","","0"
"1988","Manitoba","2016A000246","Net sales of gasoline","Litres","203","thousands","3","v74736","8.1","1402359","","","","0"
